[2021-01-23 01:10:08] top - 01:10:08 up  2:44,  4 users,  load average: 0.00, 0.02, 0.10
[2021-01-23 01:10:08] Tasks: 199 total,   1 running, 198 sleeping,   0 stopped,   0 zombie
[2021-01-23 01:10:08] %Cpu(s):  0.0 us,  3.2 sy,  0.0 ni, 96.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
[2021-01-23 01:10:08] KiB Mem :  3880256 total,  1050816 free,  2073508 used,   755932 buff/cache
[2021-01-23 01:10:08] KiB Swap:  9437180 total,  9437180 free,        0 used.  1570700 avail Mem 
[2021-01-23 01:10:08] 
[2021-01-23 01:10:08]   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
[2021-01-23 01:10:08]  1717 gdm       20   0 3217732 125900  58040 S   6.2  3.2   0:07.11 gnome-shell
[2021-01-23 01:10:08]     1 root      20   0  125712   4236   2608 S   0.0  0.1   0:02.41 systemd
[2021-01-23 01:10:08]     2 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
[2021-01-23 01:10:08]     4 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
[2021-01-23 01:10:08]     6 root      20   0       0      0      0 S   0.0  0.0   0:00.26 ksoftirqd/0
[2021-01-23 01:10:08]     7 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/0
[2021-01-23 01:10:08]     8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
[2021-01-23 01:10:08]     9 root      20   0       0      0      0 S   0.0  0.0   0:01.18 rcu_sched
[2021-01-23 01:10:08]    10 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 lru-add-drain
[2021-01-23 01:10:08]    11 root      rt   0       0      0      0 S   0.0  0.0   0:00.05 watchdog/0
[2021-01-23 01:10:08]    12 root      rt   0       0      0      0 S   0.0  0.0   0:00.04 watchdog/1
[2021-01-23 01:10:08]    13 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/1
[2021-01-23 01:10:08]    14 root      20   0       0      0      0 S   0.0  0.0   0:00.08 ksoftirqd/1
[2021-01-23 01:10:08]    16 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
[2021-01-23 01:10:08]    18 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
[2021-01-23 01:10:08]    19 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
[2021-01-23 01:10:08]    20 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khungtaskd
[2021-01-23 01:10:08]    21 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
[2021-01-23 01:10:08]    22 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
[2021-01-23 01:10:08]    23 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
[2021-01-23 01:10:08]    24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
[2021-01-23 01:10:08]    25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
[2021-01-23 01:10:08]    26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
[2021-01-23 01:10:08]    27 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
[2021-01-23 01:10:08]    28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 edac-poller
[2021-01-23 01:10:08]    29 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 watchdogd
[2021-01-23 01:10:08]    35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
[2021-01-23 01:10:08]    36 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
[2021-01-23 01:10:08]    37 root      39  19       0      0      0 S   0.0  0.0   0:00.19 khugepaged
[2021-01-23 01:10:08]    38 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
[2021-01-23 01:10:08]    46 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
[2021-01-23 01:10:08]    47 root      20   0       0      0      0 S   0.0  0.0   0:00.11 kworker/u4:1
[2021-01-23 01:10:08]    48 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmpath_rdacd
[2021-01-23 01:10:08]    49 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kaluad
[2021-01-23 01:10:08]    51 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
[2021-01-23 01:10:08]    52 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrconf
